Time_Step,Vehicles_in_CBD,Current_Toll_Fee,CBD_Avg_Speed_mps,Global_Avg_Speed_mps,Total_Revenue,Detoured_Vehicles
5070,27,6.79,11.99,12.56,5688.38,612
5080,28,7.17,12.57,12.25,5708.34,615
5090,29,7.52,12.02,12.24,5726.41,615
5100,25,6.0,12.47,12.57,5748.58,615
5110,27,6.79,12.51,12.54,5758.77,616
5120,26,6.4,11.94,12.32,5787.55,619
5130,25,6.0,12.17,12.3,5799.35,619
5140,23,5.21,12.46,12.24,5813.75,621
5150,25,6.0,12.73,12.32,5825.35,621
5160,22,4.83,12.33,12.2,5838.05,621
5170,20,4.15,11.99,12.07,5846.85,621
5180,17,3.34,11.14,12.32,5851.77,623
5190,15,2.95,11.72,12.34,5853.24,623
5200,19,3.85,11.92,12.18,5861.32,623
5210,22,4.83,12.32,11.97,5866.15,623
5220,24,5.6,12.4,12.06,5874.17,623
5230,26,6.4,11.5,12.0,5879.97,625
5240,29,7.52,11.07,12.06,5905.96,627
5250,32,8.42,12.08,12.44,5938.67,629
5260,32,8.42,12.53,12.34,5959.92,630
5270,30,7.85,12.17,12.19,5972.38,632
5280,26,6.4,12.67,12.22,6006.65,636
5290,25,6.0,11.93,12.08,6029.24,636
5300,25,6.0,10.96,11.98,6050.64,638
5310,22,4.83,12.78,12.16,6053.44,639
5320,22,4.83,12.05,12.33,6066.48,640
5330,20,4.15,12.0,11.83,6078.58,642
5340,17,3.34,11.81,11.91,6087.75,642
5350,16,3.13,11.6,11.92,6090.99,643
5360,18,3.58,11.19,11.83,6090.99,643
5370,17,3.34,12.04,11.87,6099.58,643
5380,19,3.85,10.71,11.73,6106.42,643
5390,19,3.85,11.02,12.04,6111.68,643
5400,17,3.34,12.29,11.87,6115.14,643
5410,19,3.85,11.68,11.73,6116.93,643
5420,23,5.21,11.11,12.05,6121.08,645
5430,24,5.6,12.34,11.97,6140.49,650
5440,24,5.6,12.25,11.5,6152.89,652
5450,31,8.15,12.12,12.26,6171.97,654
5460,32,8.42,12.14,11.83,6196.11,658
5470,31,8.15,12.92,12.22,6225.9,661
5480,31,8.15,11.89,11.91,6242.82,661
5490,28,7.17,12.11,11.96,6285.29,663
5500,29,7.52,12.67,11.99,6296.4,664
5510,29,7.52,12.35,12.16,6311.76,668
5520,27,6.79,12.04,11.83,6335.33,669
5530,23,5.21,11.93,11.85,6351.97,673
5540,18,3.58,12.51,12.08,6363.14,673
5550,18,3.58,13.31,12.18,6364.93,673
5560,17,3.34,12.24,12.01,6373.3,674
5570,16,3.13,12.68,12.03,6381.16,675
5580,18,3.58,11.96,12.22,6384.5,676
5590,18,3.58,12.24,12.25,6391.31,677
5600,17,3.34,13.03,12.17,6398.23,678
5610,16,3.13,12.24,12.13,6406.07,678
5620,18,3.58,12.2,12.09,6406.07,680
5630,16,3.13,12.53,12.33,6416.47,680
5640,22,4.83,11.49,12.02,6420.28,680
5650,22,4.83,12.2,11.91,6424.78,681
5660,19,3.85,12.47,12.2,6435.5,683
5670,20,4.15,11.49,11.94,6443.2,685
5680,22,4.83,11.73,12.03,6454.93,687
5690,25,6.0,12.4,12.16,6464.98,688
5700,27,6.79,11.49,12.03,6484.99,690
5710,27,6.79,12.08,12.11,6491.78,691
5720,30,7.85,12.95,12.25,6513.58,694
5730,26,6.4,12.89,12.28,6531.44,696
5740,27,6.79,12.4,12.19,6555.01,698
5750,23,5.21,13.09,12.31,6567.41,701
5760,22,4.83,12.75,12.16,6585.27,701
5770,19,3.85,12.42,12.42,6590.48,702
